 שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
אביגדור, 0000819, 0000568, 0000457, 0000001, 0000456, 0000135, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000007, 0000000, 0000001, 0000028, 0000000, 0000011, 0000042, 0000048, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000102, 0000001, 0000000, 0000000, 0000000, 0000000, 0000004, 0000059, 0000000, 0000000, 0000004, 0000001, 0000009
אביחיל, 0000175, 0000952, 0000725, 0000007, 0000718, 0000157, 0000000, 0000000, 0000000, 0000001, 0000000, 0000002, 0000019, 0000000, 0000000, 0000035, 0000000, 0000044, 0000071, 0000079, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000192, 0000000, 0000000, 0000000, 0000001, 0000000, 0000009, 0000091, 0000000, 0000000, 0000009, 0000004, 0000003
אביטל, 0002052, 0000376, 0000262, 0000001, 0000261, 0000019, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000054, 0000000, 0000010, 0000097, 0000001, 0000000, 0000000, 0000037, 0000000, 0000000, 0000000, 0000015, 0000002, 0000000, 0000000, 0000000, 0000000, 0000001, 0000003, 0000000, 0000001, 0000004, 0000000, 0000016
אביעזר, 0001070, 0000458, 0000363, 0000004, 0000359, 0000045, 0000000, 0000001, 0000000, 0000000, 0000000, 0000001, 0000007, 0000000, 0000001, 0000063, 0000002, 0000001, 0000087, 0000020, 0000000, 0000000, 0000008, 0000000, 0000000, 0000001, 0000056, 0000005, 0000000, 0000000, 0000000, 0000000, 0000017, 0000018, 0000000, 0000000, 0000003, 0000001, 0000022
אבירים, 0001220, 0000162, 0000127, 0000001, 0000126, 0000027, 0000002, 0000000, 0000000, 0000000, 0000000, 0000006, 0000004, 0000000, 0000000, 0000005, 0000000, 0000001, 0000009, 0000032, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000016, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000013, 0000000, 0000000, 0000005, 0000000, 0000003
אבן יהודה, 0000182, 0008848, 0006798, 0000038, 0006760, 0001259, 0000040, 0000001, 0000000, 0000002, 0000000, 0000014, 0000100, 0000000, 0000009, 0000421, 0000002, 0000152, 0001244, 0000549, 0000000, 0000001, 0000045, 0000001, 0000001, 0000002, 0001987, 0000055, 0000002, 0000000, 0000003, 0000000, 0000095, 0000535, 0000001, 0000003, 0000076, 0000012, 0000148
אבן מנחם, 0001081, 0000265, 0000163, 0000001, 0000162, 0000006, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000010, 0000060, 0000005, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000014, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000006, 0000000, 0000000, 0000002, 0000001, 0000043
אבן ספיר, 0000783, 0000468, 0000332, 0000003, 0000329, 0000029, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000002, 0000000, 0000001, 0000025, 0000000, 0000025, 0000184, 0000006, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000010, 0000000, 0000000, 0000008, 0000003, 0000016
אבן שמואל, 0000400, 0000477, 0000418, 0000004, 0000414, 0000002, 0000009, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000001, 0000245, 0000000, 0000001, 0000036, 0000000, 0000000, 0000000, 0000035, 0000000, 0000000, 0000000, 0000003, 0000005, 0000000, 0000000, 0000000, 0000000, 0000010, 0000002, 0000000, 0000000, 0000003, 0000000, 0000061
אבני איתן, 0004011, 0000354, 0000272, 0000000, 0000272, 0000004, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000154, 0000000, 0000001, 0000031, 0000000, 0000000, 0000000, 0000042, 0000000, 0000000, 0000000, 0000004, 0000010, 0000000, 0000000, 0000000, 0000000, 0000010, 0000001, 0000000, 0000001, 0000001, 0000001, 0000010
אבני חפץ, 0003793, 0000767, 0000644, 0000004, 0000640, 0000001, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000390, 0000000, 0000001, 0000058, 0000000, 0000000, 0000000, 0000091, 0000000, 0000000, 0000000, 0000002, 0000046, 0000000, 0000000, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000004, 0000000, 0000041
אבשלום, 0001311, 0000170, 0000112, 0000002, 0000110, 0000007, 0000001, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000005, 0000000, 0000064, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000013, 0000000, 0000000, 0000004, 0000002, 0000003
אדורה, 0003759, 0000179, 0000144, 0000000, 0000144, 0000009, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000053, 0000001, 0000001, 0000030, 0000001, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000019, 0000000, 0000000, 0000001, 0000000, 0000003
אדירים, 0000113, 0000188, 0000155, 0000000, 0000155, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000024, 0000000, 0000002, 0000039, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000002, 0000000, 0000070
אדמית, 0001068, 0000271, 0000116, 0000001, 0000115, 0000022, 0000000, 0000000, 0000000, 0000000, 0000001, 0000001, 0000004, 0000000, 0000000, 0000002, 0000000, 0000000, 0000018, 0000035, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000004, 0000000, 0000000, 0000010, 0000001, 0000004
אדרת, 0001123, 0000435, 0000322, 0000001, 0000321, 0000015, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000077, 0000000, 0000003, 0000129, 0000008, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000007, 0000001, 0000000, 0000000, 0000000, 0000000, 0000017, 0000005, 0000000, 0000000, 0000005, 0000002, 0000049
אודים, 0000446, 0000685, 0000555, 0000001, 0000554, 0000104, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000019, 0000000, 0000001, 0000025, 0000000, 0000021, 0000063, 0000066, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000186, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000045, 0000000, 0000000, 0000008, 0000002, 0000002
אודם, 0004010, 0000094, 0000063, 0000000, 0000063, 0000008, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000005, 0000000, 0000005, 0000011, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000012, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000011, 0000000, 0000000, 0000003, 0000000, 0000000
אוהד, 0001046, 0000231, 0000163, 0000001, 0000162, 0000019, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000012, 0000000, 0000012, 0000046, 0000008, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000018, 0000000, 0000002, 0000005, 0000000, 0000012
אום אל-פחם, 0002710, 0028254, 0016032, 0000188, 0015844, 0000089, 0000019, 0003520, 0000001, 0000006, 0000005, 0007872, 0000004, 0000000, 0000001, 0000008, 0000001, 0000007, 0000019, 0000194, 0000002, 0000003, 0000000, 0000006, 0003758, 0000003, 0000015, 0000003, 0000002, 0000000, 0000002, 0000004, 0000030, 0000092, 0000009, 0000053, 0000007, 0000004, 0000105
אום אל-קוטוף, 0002024, 0000570, 0000312, 0000002, 0000310, 0000013, 0000001, 0000085, 0000000, 0000000, 0000000, 0000026, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000037, 0000000, 0000000, 0000000, 0000000, 0000134, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000003, 0000001, 0000001, 0000003
אום בטין, 0001358, 0001058, 0000528, 0000007, 0000521, 0000006, 0000000, 0000061, 0000001, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000008, 0000001, 0000000, 0000000, 0000001, 0000002, 0000372, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000002, 0000001, 0000002, 0000000, 0000057
אומן, 0001108, 0000276, 0000150, 0000004, 0000146, 0000016, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000023, 0000000, 0000002, 0000063, 0000002, 0000000, 0000000, 0000003, 0000000, 0000000, 0000001, 0000017, 0000001, 0000000, 0000000, 0000001, 0000000, 0000001, 0000006, 0000000, 0000000, 0000003, 0000000, 0000006
אומץ, 0000680, 0000452, 0000343, 0000004, 0000339, 0000099, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000001, 0000012, 0000000, 0000012, 0000029, 0000024, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000111, 0000002, 0000000, 0000000, 0000000, 0000000, 0000004, 0000035, 0000000, 0000000, 0000003, 0000000, 0000003
אופקים, 0000031, 0018364, 0010879, 0000144, 0010735, 0000443, 0001564, 0000005, 0000002, 0000007, 0000002, 0000009, 0000025, 0000000, 0000007, 0001077, 0000096, 0000158, 0002924, 0000074, 0000001, 0000005, 0000172, 0000005, 0000005, 0000004, 0000481, 0000100, 0000005, 0000000, 0000008, 0000004, 0000110, 0000431, 0000011, 0000004, 0000112, 0000013, 0002871
אור הגנוז, 0001294, 0000161, 0000104, 0000002, 0000102, 0000000, 0000045, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000046
אור הנר, 0000067, 0000512, 0000394, 0000001, 0000393, 0000163, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000007, 0000000, 0000000, 0000006, 0000000, 0000053, 0000019, 0000052, 0000000, 0000000, 0000003, 0000001, 0000000, 0000000, 0000046, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000031, 0000000, 0000000, 0000005, 0000001, 0000002
אור יהודה, 0002400, 0025851, 0016278, 0000259, 0016019, 0001431, 0000128, 0000003, 0000003, 0000059, 0000002, 0000022, 0000047, 0000000, 0000017, 0000913, 0000017, 0000485, 0005265, 0000291, 0000005, 0000000, 0000238, 0000005, 0000013, 0000001, 0002220, 0000207, 0000068, 0000000, 0000019, 0000007, 0000139, 0000759, 0000011, 0000008, 0000140, 0000034, 0003462
אור עקיבא, 0001020, 0014128, 0007411, 0000129, 0007282, 0000367, 0000044, 0000001, 0000002, 0000006, 0000006, 0000002, 0000031, 0000000, 0000024, 0000742, 0000084, 0000169, 0003345, 0000082, 0000001, 0000003, 0000102, 0000008, 0000001, 0000006, 0000547, 0000146, 0000011, 0000000, 0000005, 0000005, 0000089, 0000216, 0000005, 0000005, 0000097, 0000013, 0001117
אורה, 0000780, 0000770, 0000556, 0000002, 0000554, 0000067, 0000002, 0000000, 0000000, 0000000, 0000001, 0000002, 0000004, 0000000, 0000000, 0000052, 0000000, 0000040, 0000147, 0000026, 0000000, 0000000, 0000012, 0000000, 0000000, 0000000, 0000058, 0000009, 0000000, 0000000, 0000000, 0000000, 0000035, 0000034, 0000000, 0000001, 0000011, 0000001, 0000052
אורות, 0002012, 0000401, 0000285, 0000000, 0000285, 0000096, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000016, 0000000, 0000006, 0000038, 0000028, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000051, 0000000, 0000000, 0000000, 0000000, 0000000, 0000008, 0000023, 0000000, 0000000, 0000009, 0000002, 0000003
אורטל, 0004013, 0000198, 0000142, 0000000, 0000142, 0000032, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000014, 0000000, 0000001, 0000017, 0000006, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000053, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000009, 0000000, 0000000, 0000002, 0000001, 0000002
אורים, 0000403, 0000437, 0000254, 0000002, 0000252, 0000118, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009, 0000004, 0000000, 0000000, 0000006, 0000001, 0000006, 0000015, 0000044, 0000000, 0000000, 0000001, 0000000, 0000000, 0000002, 0000028, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000011, 0000000, 0000002, 0000003, 0000000, 0000001
אורנית, 0003760, 0005049, 0003999, 0000020, 0003979, 0000432, 0000011, 0000000, 0000000, 0000002, 0000000, 0000003, 0000039, 0000000, 0000010, 0000586, 0000001, 0000071, 0001062, 0000105, 0000000, 0000001, 0000038, 0000003, 0000000, 0000001, 0001192, 0000015, 0000000, 0000000, 0000001, 0000000, 0000054, 0000214, 0000000, 0000001, 0000052, 0000011, 0000074
אושה, 0000278, 0000337, 0000232, 0000004, 0000228, 0000103, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000006, 0000000, 0000000, 0000001, 0000000, 0000000, 0000019, 0000026, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000045, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000016, 0000000, 0000000, 0000004, 0000001, 0000000
אזור, 0000565, 0009183, 0006204, 0000068, 0006136, 0000882, 0000056, 0000000, 0000002, 0000005, 0000001, 0000004, 0000065, 0000000, 0000013, 0000463, 0000019, 0000139, 0001750, 0000151, 0000002, 0000002, 0000084, 0000000, 0000002, 0000000, 0001266, 0000042, 0000003, 0000000, 0000000, 0000003, 0000060, 0000409, 0000004, 0000003, 0000075, 0000016, 0000615
אחווה, 0001157, 0000181, 0000144, 0000000, 0000144, 0000041, 0000002, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000000, 0000000, 0000013, 0000000, 0000004, 0000020, 0000007, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000028, 0000001, 0000000, 0000000, 0000000, 0000000, 0000003, 0000016, 0000000, 0000000, 0000002, 0000000, 0000004
אחוזם, 0000821, 0000350, 0000227, 0000002, 0000225, 0000003, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000052, 0000000, 0000013, 0000090, 0000000, 0000000, 0000000, 0000001, 0000000, 0000002, 0000000, 0000004, 0000002, 0000000, 0000000, 0000000, 0000000, 0000002, 0000001, 0000000, 0000000, 0000007, 0000000, 0000046
אחוזת ברק, 0001330, 0001277, 0000963, 0000008, 0000955, 0000193, 0000004, 0000000, 0000000, 0000000, 0000000, 0000001, 0000006, 0000000, 0000003, 0000078, 0000002, 0000019, 0000236, 0000025, 0000000, 0000000, 0000016, 0000000, 0000000, 0000000, 0000274, 0000000, 0000001, 0000000, 0000000, 0000000, 0000013, 0000061, 0000000, 0000002, 0000007, 0000001, 0000013
אחיהוד, 0000785, 0000530, 0000406, 0000002, 0000404, 0000013, 0000005, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000104, 0000000, 0000004, 0000150, 0000002, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000007, 0000051, 0000000, 0000000, 0000001, 0000000, 0000007, 0000005, 0000000, 0000000, 0000000, 0000001, 0000037
אחיטוב, 0000850, 0000645, 0000453, 0000002, 0000451, 0000059, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000001, 0000042, 0000000, 0000038, 0000118, 0000007, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000094, 0000000, 0000000, 0000000, 0000001, 0000001, 0000005, 0000046, 0000001, 0000000, 0000007, 0000001, 0000025
אחיסמך, 0000804, 0000811, 0000586, 0000003, 0000583, 0000020, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000029, 0000000, 0000032, 0000157, 0000000, 0000000, 0000000, 0000004, 0000001, 0000000, 0000000, 0000021, 0000003, 0000000, 0000000, 0000000, 0000000, 0000005, 0000008, 0000000, 0000000, 0000002, 0000000, 0000297
אחיעזר, 0000797, 0000972, 0000765, 0000001, 0000764, 0000005, 0000010, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000172, 0000000, 0000003, 0000105, 0000000, 0000000, 0000000, 0000023, 0000000, 0000000, 0000000, 0000011, 0000090, 0000000, 0000000, 0000000, 0000000, 0000005, 0000001, 0000000, 0000002, 0000003, 0000002, 0000329
אטרש (שבט), 0000965, 0001534, 0000442, 0000007, 0000435, 0000005, 0000000, 0000030, 0000000, 0000000, 0000000, 0000003, 0000001, 0000000, 0000002, 0000001, 0000000, 0000000, 0000003, 0000006, 0000000, 0000000, 0000000, 0000000, 0000168, 0000001, 0000000, 0000000, 0000001, 0000000, 0000000, 0000003, 0000000, 0000002, 0000002, 0000001, 0000001, 0000001, 0000204
איבים, 0000338, 0000118, 0000014, 0000000, 0000014, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000005, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000002, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002
אייל, 0000716, 0000361, 0000290, 0000001, 0000289, 0000126, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000002, 0000000, 0000000, 0000004, 0000000, 0000004, 0000017, 0000026, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000067, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000029, 0000000, 0000000, 0000005, 0000001, 0000000
איילת השחר, 0000077, 0000832, 0000600, 0000004, 0000596, 0000267, 0000001, 0000000, 0000000, 0000001, 0000001, 0000002, 0000016, 0000000, 0000001, 0000014, 0000001, 0000015, 0000072, 0000049, 0000003, 0000004, 0000001, 0000001, 0000000, 0000001, 0000071, 0000000, 0000001, 0000000, 0000000, 0000000, 0000006, 0000052, 0000002, 0000003, 0000004, 0000003, 0000004
אילון, 0000294, 0000757, 0000569, 0000002, 0000567, 0000136, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000013, 0000000, 0000000, 0000023, 0000000, 0000007, 0000057, 0000210, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000067, 0000000, 0000000, 0000000, 0000000, 0000000, 0000008, 0000028, 0000000, 0000000, 0000008, 0000001, 0000003
אילות, 0001126, 0000261, 0000179, 0000000, 0000179, 0000071, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000001, 0000000, 0000000, 0000004, 0000000, 0000005, 0000019, 0000020, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000037, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000011, 0000000, 0000000, 0000007, 0000000, 0000001
אילניה, 0000049, 0000407, 0000279, 0000003, 0000276, 0000062, 0000000, 0000000, 0000000, 0000001, 0000000, 0000001, 0000010, 0000000, 0000000, 0000020, 0000000, 0000011, 0000081, 0000009, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000040, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000023, 0000000, 0000000, 0000005, 0000002, 0000005
אילת, 0002600, 0045466, 0019582, 0000255, 0019327, 0002243, 0000052, 0000024, 0000002, 0000030, 0000002, 0000059, 0000141, 0000000, 0000045, 0001772, 0000066, 0000596, 0005843, 0000474, 0000007, 0000013, 0000335, 0000012, 0000031, 0000050, 0003436, 0000134, 0000013, 0000000, 0000008, 0000016, 0000228, 0001605, 0000015, 0000016, 0000445, 0000061, 0001553
איתמר, 0003762, 0000453, 0000349, 0000000, 0000349, 0000001, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000192, 0000000, 0000000, 0000022, 0000001, 0000000, 0000000, 0000114, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009
איתן, 0000037, 0000304, 0000223, 0000001, 0000222, 0000004, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000044, 0000000, 0000009, 0000042, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000000, 0000000, 0000103
אכסאל, 0000478, 0007715, 0003606, 0000046, 0003560, 0000028, 0000008, 0000612, 0000000, 0000002, 0000001, 0001286, 0000003, 0000000, 0000001, 0000001, 0000001, 0000001, 0000090, 0000206, 0000000, 0000000, 0000002, 0000001, 0001071, 0000002, 0000048, 0000001, 0000001, 0000000, 0000003, 0000002, 0000004, 0000031, 0000001, 0000003, 0000001, 0000004, 0000145
אל סייד, 0001359, 0000293, 0000136, 0000001, 0000135, 0000019, 0000000, 0000005, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000078, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000030
